,epsilon,grid,efficiency,cleaned
0,0.2,empty.grid,12.638230647709321,92.5
1,0.2,example-random-house-0.grid,18.37160751565762,57.95454545454546
2,0.2,rooms-with-furniture.grid,28.343949044585987,15.730337078651685
3,0.5,empty.grid,17.817371937639198,98.75
4,0.5,example-random-house-0.grid,18.526315789473685,31.818181818181817
5,0.5,rooms-with-furniture.grid,28.802588996763753,25.842696629213485
6,0.8,empty.grid,11.695956431001974,100.0
7,0.8,example-random-house-0.grid,17.922606924643585,48.86363636363637
8,0.8,rooms-with-furniture.grid,28.525641025641026,24.719101123595504
